dia,preco
2025-06-01,66.55
2025-06-02,66.55
2025-06-03,67.48
2025-06-04,66.69
2025-06-05,67.14
2025-06-06,68.02
2025-06-07,68.73
2025-06-08,68.73
2025-06-09,68.73
2025-06-10,68.41
2025-06-11,71.29
2025-06-12,70.84
2025-06-13,76.0
2025-06-14,75.05
2025-06-15,75.05
2025-06-16,75.05
2025-06-17,78.7
2025-06-18,78.38
2025-06-19,80.37
2025-06-20,78.73
2025-06-21,74.34
2025-06-22,74.34
2025-06-23,74.34
2025-06-24,69.13
2025-06-25,68.4
2025-06-26,68.57
2025-06-27,69.37
2025-06-28,68.15
2025-06-29,68.15
2025-06-30,68.15
