Data,preco
02-01-2025,76.14
03-01-2025,76.72
06-01-2025,77.27
07-01-2025,77.84
08-01-2025,77.37
09-01-2025,78.44
10-01-2025,79.76
13-01-2025,82.69
14-01-2025,82.39
15-01-2025,83.48
16-01-2025,82.39
17-01-2025,83.02
20-01-2025,81.68
21-01-2025,80.57
22-01-2025,80
23-01-2025,78.62
24-01-2025,78.71
27-01-2025,77.3
28-01-2025,78.01
29-01-2025,77.02
30-01-2025,77.42
31-01-2025,77.11
03-02-2025,76.49
04-02-2025,76.58
05-02-2025,74.71
06-02-2025,74.54
07-02-2025,74.68
10-02-2025,76.23
11-02-2025,77.65
12-02-2025,75.38
13-02-2025,75.61
14-02-2025,75.19
17-02-2025,75.81
18-02-2025,76.46
19-02-2025,76.34
20-02-2025,76.95
21-02-2025,74.88
24-02-2025,74.89
25-02-2025,73.11
26-02-2025,73.49
27-02-2025,75.01
28-02-2025,74.76
03-03-2025,72.85
04-03-2025,72.31
05-03-2025,70.92
06-03-2025,71.08
07-03-2025,72.49
10-03-2025,71.08
11-03-2025,71.51
12-03-2025,72.36
13-03-2025,70.82
14-03-2025,71.94
17-03-2025,71.93
18-03-2025,71.93
19-03-2025,71.94
20-03-2025,72.61
21-03-2025,72.64
24-03-2025,73.96
25-03-2025,73.78
26-03-2025,74.6
27-03-2025,74.72
28-03-2025,74.69
31-03-2025,77.23
01-04-2025,77.78
02-04-2025,77.27
03-04-2025,72.54
04-04-2025,68.36
07-04-2025,66.13
08-04-2025,64.86
09-04-2025,67.3
10-04-2025,65.37
11-04-2025,66.83
14-04-2025,67.18
15-04-2025,66.58
16-04-2025,67.94
17-04-2025,69.33
22-04-2025,68.93
23-04-2025,68.26
24-04-2025,67.5
25-04-2025,66.99
28-04-2025,66.13
29-04-2025,64.04
30-04-2025,63.37
01-05-2025,62.37
02-05-2025,61.57
06-05-2025,62.37
07-05-2025,60.31
08-05-2025,62.22
09-05-2025,64.26
12-05-2025,65.28
13-05-2025,66.93
14-05-2025,65.91
15-05-2025,64.36
16-05-2025,65.2
19-05-2025,66.25
20-05-2025,66.93
21-05-2025,65.86
22-05-2025,64.87
23-05-2025,65.41
27-05-2025,64.32
28-05-2025,65.72
29-05-2025,64.6
30-05-2025,64.32
02-06-2025,66.55
03-06-2025,67.48
04-06-2025,66.69
05-06-2025,67.14
06-06-2025,68.02
09-06-2025,68.73
10-06-2025,68.41
11-06-2025,71.29
12-06-2025,70.84
13-06-2025,76
16-06-2025,75.05
17-06-2025,78.7
18-06-2025,78.38
19-06-2025,80.37
20-06-2025,78.73
23-06-2025,74.34
24-06-2025,69.13
25-06-2025,68.4
26-06-2025,68.57
27-06-2025,69.37
30-06-2025,68.15
01-07-2025,67.63
02-07-2025,70.8
03-07-2025,70.42
04-07-2025,71.03
07-07-2025,71.95
08-07-2025,72.5
09-07-2025,71.98
10-07-2025,70.38
11-07-2025,72.06
14-07-2025,70.96
15-07-2025,70.27
16-07-2025,69.67
17-07-2025,71.32
18-07-2025,71.06
21-07-2025,71.92
